,ID,Name,Timestamp,Latitude,phi,t,f,P,mw,w10m,v,r,rf
0,1002,CONSON,10071218,14.3,126.5,-24,1.8e-05,975.0,65.0,0.55,0.0,596.1634288,0.0
1,1002,CONSON,10071221,14.3,125.65,-21,1.8e-05,975.0,65.0,1.0,30.56326237,504.6474551,0.0
2,1002,CONSON,10071300,14.3,124.8,-18,1.8e-05,975.0,65.0,1.32,30.56326237,413.2085527,4.41
3,1002,CONSON,10071303,14.35,124.15,-15,1.8e-05,975.0,65.0,1.37,23.43977846,342.798101,3.39
4,1002,CONSON,10071306,14.4,123.5,-12,1.81e-05,975.0,65.0,1.5,23.43456943,272.4187649,2.76
5,1002,CONSON,10071309,14.45,122.9,-9,1.81e-05,975.0,65.0,1.53,21.63878089,207.4419271,26.91
6,1002,CONSON,10071312,14.5,122.3,-6,1.82e-05,975.0,65.0,0.85,21.63394249,142.4941158,60.6
7,1002,CONSON,10071315,14.4,121.6,-3,1.81e-05,977.5,62.5,0.14,25.42898061,70.36124185,49.89
8,1002,CONSON,10071318,14.3,120.9,0,1.8e-05,980.0,60.0,1.45,25.44009545,34.90191072,31.62
9,1002,CONSON,10071321,14.5,120.25,3,1.82e-05,982.5,57.5,2.39,24.49485337,79.75457764,35.25
10,1002,CONSON,10071400,14.7,119.6,6,1.85e-05,985.0,55.0,1.81,24.47463588,149.2086308,41.91
11,1002,CONSON,10071403,15.0,118.95,9,1.88e-05,987.5,52.5,1.13,25.80531368,222.8856786,42.24
12,1002,CONSON,10071406,15.3,118.3,12,1.92e-05,990.0,50.0,2.36,25.7755628,298.1699256,29.79
13,1002,CONSON,10071409,15.65,118.0,15,1.96e-05,991.0,47.5,3.94,16.8084752,340.0849456,15.9
14,1002,CONSON,10071412,16.0,117.7,18,2e-05,992.0,45.0,4.2,16.79676302,383.8596655,6.66
15,1002,CONSON,10071415,16.05,116.9,21,2.01e-05,992.0,45.0,3.83,28.58798668,465.2563859,11.49
16,1002,CONSON,10071418,16.1,116.1,24,2.02e-05,992.0,45.0,2.67,28.58082886,547.9181936,0.0
17,1003,CHANTHU,10071709,15.65,122.95,-24,1.96e-05,1008.0,0.0,1.36,0.0,240.7529615,3.51
18,1003,CHANTHU,10071712,15.5,122.8,-21,1.94e-05,1008.0,0.0,0.64,7.717193626,218.8745625,7.2
19,1003,CHANTHU,10071715,15.4,122.6,-18,1.93e-05,1008.0,0.0,0.9,8.054501233,194.7952209,7.05
20,1003,CHANTHU,10071718,15.3,122.4,-15,1.92e-05,1008.0,0.0,1.39,8.057542056,170.6972476,4.8
21,1003,CHANTHU,10071721,15.2,122.25,-12,1.91e-05,1008.0,0.0,1.86,6.521770172,151.3940738,5.01
22,1003,CHANTHU,10071800,15.1,122.1,-9,1.89e-05,1008.0,0.0,1.48,6.523855074,132.1361788,6.81
23,1003,CHANTHU,10071803,15.15,121.7,-6,1.9e-05,1007.0,0.0,1.26,14.44563365,98.06764456,9.6
24,1003,CHANTHU,10071806,15.2,121.3,-3,1.91e-05,1006.0,0.0,1.05,14.44227133,74.41094786,9.54
25,1003,CHANTHU,10071809,15.05,120.6,0,1.89e-05,1006.0,0.0,0.62,25.68996244,64.30804836,7.83
26,1003,CHANTHU,10071812,14.9,119.9,3,1.87e-05,1006.0,0.0,0.56,25.70711406,120.9584371,6.09
27,1003,CHANTHU,10071815,14.8,119.4,6,1.86e-05,1005.0,0.0,1.58,18.31514028,171.666934,9.6
28,1003,CHANTHU,10071818,14.7,118.9,9,1.85e-05,1004.0,0.0,1.38,18.3232127,224.4543557,11.97
29,1003,CHANTHU,10071821,14.65,118.35,12,1.84e-05,1004.0,0.0,1.48,19.83149818,283.5344535,9.42
30,1003,CHANTHU,10071900,14.6,117.8,15,1.83e-05,1004.0,0.0,2.05,19.83597517,342.8024685,8.97
31,1003,CHANTHU,10071903,14.85,117.4,18,1.86e-05,1003.0,0.0,1.41,17.06897241,386.413766,9.33
32,1003,CHANTHU,10071906,15.1,117.0,21,1.89e-05,1002.0,0.0,1.31,17.0549458,431.5126155,6.96
33,1003,CHANTHU,10071909,15.5,116.8,24,1.94e-05,1001.0,17.5,3.39,16.43397798,459.510047,5.22
34,1013,MEGI,10101715,17.85,124.65,-24,2.23e-05,890.0,122.5,1.27,0.0,529.9097284,0.0
35,1013,MEGI,10101718,17.6,124.2,-21,2.2e-05,885.0,125.0,1.59,18.40818008,476.5696921,0.51
36,1013,MEGI,10101721,17.55,123.75,-18,2.19e-05,885.0,125.0,2.08,16.02779235,439.5230135,0.54
37,1013,MEGI,10101800,17.5,123.3,-15,2.19e-05,885.0,125.0,2.64,16.03215053,404.7656539,0.84
38,1013,MEGI,10101803,17.3,122.6,-12,2.16e-05,897.5,115.0,2.77,25.87960198,345.0691481,0.9
39,1013,MEGI,10101806,17.1,121.9,-9,2.14e-05,910.0,105.0,3.03,25.9052814,293.6904786,0.63
40,1013,MEGI,10101809,16.95,121.35,-6,2.12e-05,925.0,97.5,3.74,20.29530461,263.2617601,7.47
41,1013,MEGI,10101812,16.8,120.8,-3,2.1e-05,940.0,90.0,5.52,20.31021644,244.4566897,16.5
42,1013,MEGI,10101815,16.65,120.25,0,2.08e-05,945.0,87.5,5.67,20.3250004,240.0912156,18.75
43,1013,MEGI,10101818,16.5,119.7,3,2.07e-05,950.0,85.0,5.86,20.33965637,250.9843316,22.47
44,1013,MEGI,10101821,16.5,119.45,6,2.07e-05,950.0,82.5,6.63,8.894610387,266.4748546,26.04
45,1013,MEGI,10101900,16.5,119.2,9,2.07e-05,950.0,80.0,6.13,8.894610387,283.634651,20.25
46,1013,MEGI,10101903,16.55,118.9,12,2.07e-05,950.0,80.0,5.95,10.82988341,309.8326614,12.45
47,1013,MEGI,10101906,16.6,118.6,15,2.08e-05,950.0,80.0,5.94,10.82715339,337.1057483,13.32
48,1013,MEGI,10101909,16.6,118.25,18,2.08e-05,950.0,80.0,5.2,12.44599778,366.0765597,14.73
49,1013,MEGI,10101912,16.6,117.9,21,2.08e-05,950.0,80.0,5.29,12.44599778,396.4493172,18.27
50,1013,MEGI,10101915,16.75,117.75,24,2.1e-05,950.0,80.0,5.0,7.69394962,418.8277029,15.63
51,1101,AERE,11050715,13.4,125.05,-24,1.69e-05,996.0,35.0,3.42,0.0,460.3194491,1.83
52,1101,AERE,11050718,13.5,124.7,-21,1.7e-05,996.0,35.0,2.12,13.15899415,420.668698,0.15
53,1101,AERE,11050721,13.75,124.45,-18,1.73e-05,996.0,35.0,1.84,12.91147854,386.7659887,1.38
54,1101,AERE,11050800,14.0,124.2,-15,1.76e-05,996.0,35.0,1.77,12.90475168,353.9714663,4.98
55,1101,AERE,11050803,14.25,123.95,-12,1.79e-05,995.0,35.0,2.41,12.89790991,322.6119882,6.72
56,1101,AERE,11050806,14.5,123.7,-9,1.82e-05,994.0,35.0,3.09,12.89095356,293.1355152,13.44
57,1101,AERE,11050809,14.8,123.4,-6,1.86e-05,993.0,37.5,3.86,15.45894622,261.1243987,43.17
58,1101,AERE,11050812,15.1,123.1,-3,1.89e-05,992.0,40.0,4.69,15.4485515,234.1679396,53.16
59,1101,AERE,11050815,15.35,123.0,0,1.93e-05,992.0,40.0,5.43,9.915851342,231.8805275,41.1
60,1101,AERE,11050818,15.6,122.9,3,1.96e-05,992.0,40.0,6.11,9.91435843,233.4376407,28.65
61,1101,AERE,11050821,15.95,122.7,6,2e-05,992.0,40.0,5.99,14.78316911,236.8771846,23.49
62,1101,AERE,11050900,16.3,122.5,9,2.04e-05,992.0,40.0,6.32,14.77722039,248.425772,23.58
63,1101,AERE,11050903,16.75,122.4,12,2.1e-05,994.0,37.5,6.11,17.02158747,282.0448504,17.64
64,1101,AERE,11050906,17.2,122.3,15,2.15e-05,996.0,35.0,5.98,17.02005389,320.3556914,13.02
65,1101,AERE,11050909,17.6,122.3,18,2.2e-05,996.0,35.0,6.5,14.79739048,360.6829337,9.15
66,1101,AERE,11050912,18.0,122.3,21,2.25e-05,996.0,35.0,6.51,14.79759299,401.8679689,7.74
67,1101,AERE,11050915,18.6,122.25,24,2.32e-05,996.0,35.0,5.98,22.26639754,463.2041511,7.05
68,1102,SONGDA,11052515,13.45,127.35,-24,1.69e-05,940.0,90.0,0.91,0.0,701.2144919,0.0
69,1102,SONGDA,11052518,13.8,127.2,-21,1.73e-05,935.0,95.0,0.98,14.02931716,678.0805217,0.0
70,1102,SONGDA,11052521,14.25,126.85,-18,1.79e-05,932.5,97.5,1.52,20.86903353,634.3210507,0.0
71,1102,SONGDA,11052600,14.7,126.5,-15,1.85e-05,930.0,100.0,1.73,20.85383501,594.2283772,0.0
72,1102,SONGDA,11052603,15.15,126.15,-12,1.9e-05,925.0,102.5,1.76,20.83819525,558.5766077,0.0
73,1102,SONGDA,11052606,15.6,125.8,-9,1.96e-05,920.0,105.0,1.97,20.8221171,528.246723,0.0
74,1102,SONGDA,11052609,15.9,125.45,-6,1.99e-05,920.0,105.0,3.31,16.70817195,499.4732466,1.44
75,1102,SONGDA,11052612,16.2,125.1,-3,2.03e-05,920.0,105.0,3.55,16.69419107,474.4786684,2.73
76,1102,SONGDA,11052615,16.7,124.8,0,2.09e-05,920.0,105.0,4.04,21.34938788,468.8308928,3.39
77,1102,SONGDA,11052618,17.2,124.5,3,2.15e-05,920.0,105.0,4.17,21.33552052,472.1551261,2.37
78,1102,SONGDA,11052621,17.65,124.2,6,2.2e-05,920.0,105.0,4.22,19.73965142,480.3905187,2.37
79,1102,SONGDA,11052700,18.1,123.9,9,2.26e-05,920.0,105.0,3.68,19.72546014,495.822223,3.03
80,1102,SONGDA,11052703,18.7,123.65,12,2.33e-05,925.0,102.5,4.03,23.87286721,534.5698609,0.0
81,1102,SONGDA,11052706,19.3,123.4,15,2.4e-05,930.0,100.0,4.6,23.86169261,579.7834367,0.0
82,1102,SONGDA,11052709,19.85,123.25,18,2.47e-05,930.0,97.5,4.77,21.01073786,628.7863907,0.0
83,1102,SONGDA,11052712,20.4,123.1,21,2.53e-05,930.0,95.0,5.29,21.00657642,680.1782432,0.0
84,1102,SONGDA,11052715,20.95,123.2,24,2.6e-05,935.0,92.5,4.15,20.64186674,741.1226539,0.0
85,1104,HAIMA,11061718,12.4,127.4,-24,1.56e-05,1006.0,0.0,1.84,0.0,739.3859627,0.0
86,1104,HAIMA,11061721,12.9,127.05,-21,1.62e-05,1006.0,0.0,2.01,22.41196535,685.0353931,0.0
87,1104,HAIMA,11061800,13.4,126.7,-18,1.69e-05,1006.0,0.0,1.76,22.39761025,633.4293206,0.0
