,ID,t,phi,f,P,mw,w10m,v,r,rf
3,1504,-15,124.45,1.94e-05,982.5,52.5,1.79,25.01945282,383.7397007,0.24
20,2017,-15,124.5,1.94e-05,1000.0,35.0,1.77,28.36742011,390.231816,8.88
30,2017,15,117.8,2.03e-05,990.0,45.0,5.3,18.19653792,383.5122839,6.36
31,2017,18,117.6,2e-05,987.5,50.0,5.39,10.27746327,393.6741494,8.04
37,1306,-15,124.1,1.62e-05,1002.0,35.0,1.8,27.521851,387.5775759,2.13
46,1306,12,117.9,1.99e-05,995.0,40.0,5.5,32.2223449,357.8487154,9.54
54,1117,-15,124.5,1.96e-05,962.5,72.5,5.29,19.34071348,393.029516,6.72
64,1117,15,118.5,2.13e-05,970.0,65.0,9.47,21.99677344,378.7638746,44.52
71,1501,-15,123.95,1.65e-05,994.0,37.5,5.28,19.46556688,362.4918817,0.27
93,1111,0,124.0,2.05e-05,940.0,90.0,4.13,9.089372897,378.9142334,1.29
94,1111,3,123.95,2.07e-05,932.5,95.0,3.57,5.826871448,383.3014958,0.48
95,1111,6,123.9,2.09e-05,925.0,100.0,4.52,5.82647299,388.438702,0.3
96,1111,9,123.75,2.12e-05,925.0,100.0,5.11,10.67125017,393.2379471,0.42
