,ID,t,phi,f,P,mw,w10m,v,r,rf
0,1504,-24,126.6,1.85e-05,965.0,70.0,1.79,0.0,604.9942599,0.0
1,1504,-21,125.85,1.88e-05,972.5,62.5,1.76,28.43370287,524.9435186,0.0
12,1504,12,119.4,2.43e-05,1008.0,0.0,3.2,34.0751893,568.1733436,0.0
13,1504,15,118.8,2.48e-05,1008.0,0.0,2.25,25.6369111,630.6008955,0.0
14,1504,18,118.2,2.52e-05,1008.0,0.0,1.39,25.59344181,695.7248713,0.0
15,1504,21,117.8,2.52e-05,1008.0,0.0,0.69,13.92070915,714.17015,0.0
16,1504,24,117.4,2.52e-05,1008.0,0.0,1.99,13.92070915,734.5291419,0.0
17,2017,-24,126.65,1.83e-05,1002.0,0.0,3.38,0.0,610.5633213,0.0
18,2017,-21,126.0,1.88e-05,1002.0,0.0,1.92,27.59881617,541.3306548,0.0
34,1306,-24,125.6,1.46e-05,1002.0,35.0,0.84,0.0,603.8929617,0.0
35,1306,-21,125.0,1.47e-05,1002.0,35.0,1.29,22.11284595,543.7489469,0.0
48,1306,18,116.4,2.12e-05,992.0,42.5,2.93,34.93239146,553.0355094,0.0
49,1306,21,115.6,2.19e-05,990.0,45.0,1.85,34.86405072,655.5882995,0.0
50,1306,24,114.75,2.24e-05,990.0,45.0,1.76,33.46333091,754.739547,0.0
51,1117,-24,126.0,1.89e-05,965.0,70.0,2.63,0.0,542.0920263,0.0
67,1117,24,116.6,2.14e-05,970.0,65.0,6.67,23.12706834,542.3242411,0.0
68,1501,-24,125.2,1.56e-05,990.0,45.0,5.85,0.0,519.7201399,0.0
85,1111,-24,126.0,2e-05,980.0,60.0,2.12,0.0,558.8368853,0.0
86,1111,-21,125.8,2.02e-05,977.5,62.5,2.17,8.032683878,541.358114,0.0
87,1111,-18,125.6,2.03e-05,975.0,65.0,2.63,8.029491363,524.4453882,0.0
88,1111,-15,125.4,2.03e-05,970.0,70.0,2.48,7.360979127,506.2362026,0.0
