,ID,t,phi,f,P,mw,w10m,v,r,rf
0,1726,-24,126.0,1.52e-05,998.0,35.0,2.99,0.0,612.7919487,0.57
1,1726,-21,125.8,1.53e-05,1000.0,17.5,3.55,7.48706412,590.8070648,0.6
2,1726,-18,125.6,1.54e-05,1002.0,0.0,4.57,7.485741164,568.8741088,1.23
3,1726,-15,125.4,1.55e-05,1002.0,0.0,3.7,8.139850821,544.290236,7.05
4,1726,-12,125.2,1.56e-05,1002.0,0.0,3.23,8.137387239,519.7201399,11.16
16,1726,24,118.8,1.33e-05,1004.0,0.0,5.22,16.52213759,514.2344762,17.73
17,1826,-24,125.65,2.11e-05,962.5,75.0,2.46,0.0,558.6582413,0.12
18,1826,-21,125.2,2.1e-05,955.0,80.0,2.08,16.40769924,511.2903282,0.0
34,1330,-24,129.1,1.29e-05,895.0,125.0,5.42,0.0,1014.800085,9.84
35,1330,-21,128.0,1.31e-05,895.0,125.0,4.42,40.82238305,898.9036237,8.7
36,1330,-18,126.9,1.34e-05,895.0,125.0,3.07,40.79685414,785.2976456,6.81
37,1330,-15,125.85,1.36e-05,902.5,117.5,3.05,38.98003347,679.3403085,9.72
38,1330,-12,124.8,1.39e-05,910.0,110.0,3.6,38.95478982,577.9120916,9.0
46,1330,12,116.6,1.55e-05,940.0,90.0,8.79,25.44561273,540.8750935,19.2
47,1330,15,115.7,1.62e-05,940.0,90.0,8.12,39.39827996,603.5613653,24.63
48,1330,18,114.8,1.7e-05,940.0,90.0,7.58,39.33251862,680.3095907,28.77
49,1330,21,113.95,1.75e-05,942.5,87.5,6.35,34.84324735,763.1932636,9.75
50,1330,24,113.1,1.81e-05,945.0,85.0,5.43,34.79006681,850.1780544,3.87
68,1409,-24,126.25,1.59e-05,962.5,67.5,0.45,0.0,611.8870412,2.1
69,1409,-21,125.6,1.6e-05,960.0,70.0,1.7,23.60170553,544.1725625,2.64
84,1409,24,116.2,1.99e-05,965.0,62.5,2.54,24.11703653,531.7962034,2.1
85,1325,-24,125.75,1.92e-05,977.5,62.5,1.75,0.0,517.7282557,10.14
101,1325,24,116.35,1.89e-05,967.5,72.5,4.32,23.36524042,500.4183453,7.89
102,1914,-24,126.3,2.27e-05,1008.0,0.0,2.05,0.0,689.5697204,7.35
103,1914,-21,126.1,2.27e-05,1007.0,0.0,1.8,7.290596043,669.2794308,5.73
104,1914,-18,125.9,2.26e-05,1006.0,0.0,1.92,7.292544045,649.071402,4.2
105,1914,-15,125.45,2.26e-05,1006.0,0.0,3.31,15.87163909,611.5614084,2.91
106,1914,-12,125.0,2.26e-05,1006.0,0.0,3.99,15.87163909,575.5479028,1.2
107,1914,-9,124.4,2.26e-05,1006.0,0.0,3.25,21.16218545,530.3830829,0.96
112,1914,6,121.9,2.43e-05,1004.0,0.0,1.86,26.23904813,551.8435543,0.18
113,1914,9,121.2,2.4e-05,1004.0,0.0,2.27,26.20848644,516.1306765,1.23
115,1914,15,119.55,2.39e-05,1003.0,0.0,3.86,33.7596924,526.5224979,8.37
116,1914,18,118.6,2.4e-05,1002.0,0.0,2.36,33.72972288,578.1544813,16.62
117,1914,21,117.95,2.39e-05,1002.0,0.0,2.08,23.45058951,596.8393844,14.13
118,1914,24,117.3,2.37e-05,1002.0,0.0,1.62,23.47063256,623.0796587,19.71
119,1724,-24,126.35,1.47e-05,1005.0,0.0,4.13,0.0,667.9970278,0.06
120,1724,-21,125.6,1.52e-05,1004.0,0.0,2.4,30.97358519,574.3263632,0.42
136,1829,-24,127.7,1.34e-05,1002.0,0.0,2.58,0.0,858.9052651,0.51
137,1829,-21,127.25,1.36e-05,1003.0,0.0,4.4,17.9930736,804.9284273,0.48
138,1829,-18,126.8,1.39e-05,1004.0,0.0,5.19,17.98304023,751.0639588,0.39
139,1829,-15,126.1,1.41e-05,1004.0,0.0,4.89,26.53195234,674.5415668,0.18
140,1829,-12,125.4,1.44e-05,1004.0,0.0,3.14,26.51490052,599.0117361,0.39
141,1829,-9,124.45,1.41e-05,1005.0,0.0,2.79,35.36219412,534.8651995,0.54
148,1829,12,118.4,1.36e-05,1006.0,0.0,4.49,31.47467516,507.8426093,7.14
149,1829,15,117.7,1.39e-05,1005.0,17.5,3.54,27.11813474,533.0328587,6.78
150,1829,18,117.0,1.42e-05,1004.0,35.0,3.25,27.09750466,568.6727522,6.18
151,1829,21,116.3,1.44e-05,1004.0,35.0,3.25,26.05514889,619.2413198,5.97
152,1829,24,115.6,1.46e-05,1004.0,35.0,3.05,26.04187839,674.9677325,6.39
153,1311,-24,126.45,1.8e-05,952.5,82.5,1.66,0.0,590.3563213,2.22
154,1311,-21,125.9,1.82e-05,950.0,85.0,1.36,20.52277952,530.1356319,1.32
167,1311,18,117.25,2.24e-05,965.0,70.0,4.25,26.5398124,542.3084884,16.47
168,1311,21,116.5,2.25e-05,965.0,70.0,4.34,26.5323361,605.9842263,11.46
169,1311,24,115.85,2.27e-05,962.5,70.0,3.77,23.58135659,670.512144,9.33
187,1929,-24,124.9,1.44e-05,975.0,75.0,4.26,0.0,556.0443757,0.15
204,1102,-24,127.35,1.69e-05,940.0,90.0,0.91,0.0,701.2144919,5.22
205,1102,-21,127.2,1.73e-05,935.0,95.0,0.98,14.02931716,678.0805217,3.06
206,1102,-18,126.85,1.79e-05,932.5,97.5,1.52,20.86903353,634.3210507,1.5
207,1102,-15,126.5,1.85e-05,930.0,100.0,1.73,20.85383501,594.2283772,0.9
208,1102,-12,126.15,1.9e-05,925.0,102.5,1.76,20.83819525,558.5766077,1.59
209,1102,-9,125.8,1.96e-05,920.0,105.0,1.97,20.8221171,528.246723,1.71
216,1102,12,123.65,2.33e-05,925.0,102.5,4.03,23.87286721,534.5698609,4.59
217,1102,15,123.4,2.4e-05,930.0,100.0,4.6,23.86169261,579.7834367,5.31
218,1102,18,123.25,2.47e-05,930.0,97.5,4.77,21.01073786,628.7863907,4.05
219,1102,21,123.1,2.53e-05,930.0,95.0,5.29,21.00657642,680.1782432,3.42
220,1102,24,123.2,2.6e-05,935.0,92.5,4.15,20.64186674,741.1226539,3.45
255,1213,-24,125.9,2.1e-05,992.0,40.0,2.69,0.0,577.9651109,5.73
256,1213,-21,125.55,2.11e-05,992.0,40.0,3.0,12.96533666,549.2007112,3.66
257,1213,-18,125.2,2.13e-05,992.0,40.0,3.27,12.95900666,521.8243699,4.29
270,1213,21,118.85,2.34e-05,980.0,55.0,6.64,22.83244461,517.045726,8.16
271,1213,24,118.2,2.34e-05,975.0,60.0,5.15,22.83244461,550.2815813,6.33
272,1822,-24,127.4,1.96e-05,905.0,110.0,2.28,0.0,696.9255955,2.4
273,1822,-21,126.9,2e-05,905.0,110.0,2.32,23.1734834,651.9166101,4.44
274,1822,-18,126.3,2.05e-05,905.0,110.0,2.72,24.98060672,600.1666204,6.9
275,1822,-15,125.7,2.09e-05,905.0,110.0,2.93,24.94760774,554.1999207,8.4
284,1822,12,119.0,2.35e-05,945.0,87.5,8.65,27.78321045,515.4188398,8.22
285,1822,15,118.3,2.39e-05,950.0,85.0,8.49,27.73753503,582.8231258,6.75
286,1822,18,117.65,2.43e-05,952.5,82.5,6.76,25.30017498,646.1576134,4.68
