,ID,t,phi,f,P,mw,w10m,v,r,rf
59,2002,0,121.15,1.94E-05,1003,0,2.13,26.60963624,95.57198381,2.55
76,1409,0,121.15,1.77E-05,952.5,77.5,5.2,27.24369073,58.81026375,21.93
77,1409,3,120.4,1.78E-05,960,70,5.26,27.23192808,77.19744621,26.82
127,1724,0,120.9,1.77E-05,1004,0,4.41,24.27762926,56.64976819,44.79
128,1724,3,120.3,1.81E-05,1004,0,3.6,24.25215356,76.96753567,52.92
227,1003,-6,121.7,1.90E-05,1007,0,1.26,14.44563365,98.06764456,9.6
228,1003,-3,121.3,1.91E-05,1006,0,1.05,14.44227133,74.41094786,9.54
229,1003,0,120.6,1.89E-05,1006,0,0.62,25.68996244,64.30804836,7.83
381,2019,-3,121.6,1.76E-05,988,52.5,3.7,15.48570202,94.59507883,28.53
382,2019,0,121.3,1.80E-05,996,45,6.55,15.47583335,48.11154677,61.59
383,2019,3,120.4,1.81E-05,998,40,6.99,32.55746542,66.7387273,30.03
433,1626,0,120.55,1.74E-05,960,77.5,5.11,31.98924432,95.84606188,9.75
636,2001,-3,121.6,1.81E-05,993,47.5,4,19.83114659,68.76076721,7.59
637,2001,0,121.3,1.87E-05,994,45,5.35,19.81929678,47.39515683,11.4
670,1002,-3,121.6,1.81E-05,977.5,62.5,0.14,25.42898061,70.36124185,49.89
671,1002,0,120.9,1.80E-05,980,60,1.45,25.44009545,34.90191072,31.62
672,1002,3,120.25,1.82E-05,982.5,57.5,2.39,24.49485337,79.75457764,35.25
705,2022,0,121.3,1.89E-05,970,70,10.49,27.43590458,64.75949806,92.76
706,2022,3,120.45,1.90E-05,977.5,62.5,11.08,30.50045818,83.29872572,71.49
57,2002,-6,122.35,1.87E-05,1004,0,2.45,21.06425236,150.7600559,2.16
58,2002,-3,121.8,1.89E-05,1004,0,2.16,21.04700514,103.6942248,0.39
60,2002,3,120.5,1.98E-05,1002,0,0.69,26.57504098,142.3999295,9.33
61,2002,6,119.95,2.00E-05,1002,0,1.19,20.39229786,185.7718403,16.08
75,1409,-3,121.9,1.76E-05,945,85,2.9,29.19439029,119.678222,28.68
78,1409,6,119.7,1.84E-05,962.5,67.5,5.68,30.14290393,138.1869027,42.66
92,1325,-3,122.4,1.93E-05,970,70,3.42,16.2042901,175.9326104,21.42
93,1325,0,121.45,1.94E-05,972.5,67.5,3.71,34.02761346,106.4388374,40.71
94,1325,3,120.5,1.94E-05,975,65,4.31,34.01941778,112.0617763,35.52
95,1325,6,119.75,1.93E-05,975,65,5.63,27.40468372,156.0331391,27.33
125,1724,-6,122.15,1.70E-05,1004,0,4.61,25.20544721,172.2109836,12.87
126,1724,-3,121.5,1.73E-05,1004,0,5.04,25.18232647,105.3435278,21.06
129,1724,6,119.75,1.85E-05,1003,17.5,2.35,22.64583038,133.1032901,48.84
130,1724,9,119.2,1.88E-05,1002,35,2.73,22.62200862,196.6025899,33.15
223,1003,-18,122.6,1.93E-05,1008,0,0.9,8.054501233,194.7952209,7.05
224,1003,-15,122.4,1.92E-05,1008,0,1.39,8.057542056,170.6972476,4.8
225,1003,-12,122.25,1.91E-05,1008,0,1.86,6.521770172,151.3940738,5.01
226,1003,-9,122.1,1.89E-05,1008,0,1.48,6.523855074,132.1361788,6.81
230,1003,3,119.9,1.87E-05,1006,0,0.56,25.70711406,120.9584371,6.09
231,1003,6,119.4,1.86E-05,1005,0,1.58,18.31514028,171.666934,9.6
380,2019,-6,121.9,1.72E-05,980,60,3.55,30.86560522,141.1397032,25.89
384,2019,6,119.5,1.82E-05,1000,35,6.29,32.54301625,160.160134,9.48
416,1223,0,120.25,1.69E-05,998,40,5.47,32.29604578,155.3788395,21.06
417,1223,3,119.6,1.76E-05,998,40,6.17,32.25286202,163.6593653,53.46
431,1626,-6,122.1,1.70E-05,950,85,4.77,25.31920481,168.2801236,2.19
432,1626,-3,121.4,1.71E-05,950,85,4.82,25.31389884,120.2531524,3.24
434,1626,3,119.7,1.77E-05,970,70,5.43,31.95744778,149.3127163,42.27
449,1928,-3,121.5,1.67E-05,967.5,75,7.19,25.35063788,160.4027631,2.85
450,1928,0,120.8,1.67E-05,975,70,8.46,25.345447,146.0617496,27.69
