,ID,t,phi,f,P,mw,w10m,v,r,rf
8,1726,0,122.7,1.54E-05,1004,0,4.14,27.76141063,325.7359011,4.08
9,1726,3,122.2,1.49E-05,1004,0,5.68,23.42472396,338.2741814,10.53
22,1826,-9,123,2.10E-05,955,80,2.18,21.3136638,324.9946037,0.03
28,1826,9,119.1,2.11E-05,985,55,6.41,19.23204746,324.199513,18.42
29,1826,12,118.85,2.13E-05,987.5,52.5,5.26,9.611671618,349.5923433,17.85
41,1330,-3,121.5,1.47E-05,940,90,6.36,37.49999997,332.6281374,31.74
42,1330,0,120.5,1.50E-05,940,90,7.64,37.46799418,304.626243,27.36
43,1330,3,119.25,1.52E-05,940,90,8.35,45.6991426,340.4249828,19.11
54,2002,-15,123.9,1.80E-05,1006,0,1.9,18.16600441,316.5491294,13.98
64,2002,15,118.3,2.05E-05,1000,0,5.55,20.34935585,348.9422836,32.58
89,1325,-12,123.9,1.92E-05,970,70,1.42,21.47480813,322.6708067,2.85
98,1325,15,118.2,1.91E-05,970,70,4.53,14.32335264,306.1040188,26.7
123,1724,-12,123.55,1.64E-05,1005,0,2.61,29.29918779,330.5465911,3.6
132,1724,15,118.5,1.99E-05,1002,35,3.29,20.81115625,302.1578491,65.97
157,1311,-12,124.15,1.92E-05,932.5,97.5,1.66,24.41237023,348.793565,6.45
164,1311,9,119.2,2.15E-05,965,70,4.5,29.82758853,344.8301564,11.22
175,1510,-9,123.4,2.08E-05,985,45,4.22,15.26454709,343.5684733,3.75
176,1510,-6,123,2.10E-05,985,45,4.98,15.25414,324.9946037,5.7
177,1510,-3,122.8,2.11E-05,985,45,4.92,8.006615797,320.0032559,11.07
178,1510,0,122.6,2.13E-05,985,45,3.61,8.003272638,316.7869072,4.32
179,1510,3,122.3,2.16E-05,987.5,42.5,3.71,14.09089928,325.3387384,1.02
180,1510,6,122,2.19E-05,990,40,4.15,14.08000982,339.0558762,4.14
181,1510,9,121.15,2.22E-05,991,40,4.1,31.43053278,349.5769836,3.96
191,1929,-12,122.4,1.50E-05,975,75,2.89,18.24847321,337.4745266,4.44
192,1929,-9,121.85,1.51E-05,977.5,72.5,3.48,20.30236463,304.0253823,6.06
199,1929,12,118.6,1.65E-05,985,65,3.94,13.81260065,307.5240474,13.95
200,1929,15,118.3,1.67E-05,980,70,3.64,12.17349499,327.1825703,11.94
201,1929,18,118,1.69E-05,975,75,2.86,12.16752677,349.4932684,14.19
234,1003,15,117.8,1.83E-05,1004,0,2.05,19.83597517,342.8024685,8.97
241,1220,-15,117.85,1.92E-05,990,50,2.55,5.368702033,345.066929,12.84
242,1220,-12,118,1.92E-05,990,50,2.77,5.368702033,329.3889472,16.65
243,1220,-9,118.1,1.91E-05,991,47.5,2.88,4.029527666,317.7349046,21.51
244,1220,-6,118.2,1.91E-05,992,45,1.98,4.030281924,306.1040188,13.86
248,1220,6,118.2,1.87E-05,992,45,3.61,2.575917188,301.0939669,3.63
249,1220,9,118.1,1.85E-05,993,42.5,3.57,6.607761423,310.6934526,1.38
250,1220,12,118,1.83E-05,994,40,3.23,6.609078078,321.2575113,1.32
293,1625,-12,121.3,1.45E-05,1000,0,3.79,21.89518532,346.1856433,8.52
294,1625,-9,121,1.46E-05,999,17.5,5.06,11.51478947,333.3557909,5.25
295,1625,-6,120.7,1.47E-05,998,35,6.09,11.51107688,323.7196399,13.47
300,1625,9,118.2,1.70E-05,993,47.5,4.9,21.1801774,325.1279602,10.47
328,1119,-9,122.7,2.10E-05,935,95,2.88,24.93463732,304.7854104,0.45
334,1119,9,118.8,2.05E-05,965,70,5.45,16.01855147,306.6324787,6.36
346,1723,-6,122.3,1.50E-05,1008,0,3.78,16.7524869,332.630778,21.42
347,1723,-3,121.65,1.50E-05,1007,0,4.18,23.60087642,308.7549817,30.54
348,1723,0,121,1.50E-05,1006,0,4.52,23.60087642,300.0701044,42.12
349,1723,3,120.25,1.51E-05,1005,0,5.26,27.28949899,305.1204162,36.99
350,1723,6,119.5,1.51E-05,1004,0,5.19,27.28447172,330.9835544,28.26
351,1723,9,119.05,1.52E-05,1003,0,5.04,16.7406716,348.4892654,30.39
360,2021,-15,123.7,1.64E-05,1004,0,3.64,42.43389516,344.3672112,2.61
378,2019,-12,123.6,1.70E-05,945,100,3.1,25.85910696,308.717621,27.96
387,2019,15,118,1.88E-05,1000,35,4.84,15.37620605,323.0273971,2.22
413,1223,-9,122.3,1.50E-05,996,40,4.87,30.48353444,332.630778,2.37
428,1626,-15,124,1.70E-05,925,100,5.74,19.84468281,348.882261,1.62
