,ID,t,phi,f,P,mw,w10m,v,r,rf
0,1726,-24,126.0,1.52e-05,998.0,35.0,2.99,0.0,612.7919487,0.0
1,1726,-21,125.8,1.53e-05,1000.0,17.5,3.55,7.48706412,590.8070648,0.0
2,1726,-18,125.6,1.54e-05,1002.0,0.0,4.57,7.485741164,568.8741088,0.0
3,1726,-15,125.4,1.55e-05,1002.0,0.0,3.7,8.139850821,544.290236,0.0
4,1726,-12,125.2,1.56e-05,1002.0,0.0,3.23,8.137387239,519.7201399,0.0
5,1726,-9,124.7,1.57e-05,1003.0,0.0,3.58,18.21110899,469.5330444,0.0
6,1726,-6,124.2,1.57e-05,1004.0,0.0,3.96,18.20762988,420.4958242,0.0
7,1726,-3,123.45,1.56e-05,1004.0,0.0,4.17,27.74623736,366.8547105,2.1
8,1726,0,122.7,1.54e-05,1004.0,0.0,4.14,27.76141063,325.7359011,4.08
9,1726,3,122.2,1.49e-05,1004.0,0.0,5.68,23.42472396,338.2741814,10.53
10,1726,6,121.7,1.44e-05,1004.0,0.0,7.38,23.44483573,364.0667943,9.57
11,1726,9,121.05,1.4e-05,1004.0,0.0,7.35,26.13994006,388.8969423,12.3
12,1726,12,120.4,1.36e-05,1004.0,0.0,6.8,26.16163125,426.8853954,0.0
13,1726,15,120.05,1.35e-05,1004.0,0.0,6.58,13.2866408,445.0454328,0.0
14,1726,18,119.7,1.34e-05,1004.0,0.0,6.32,13.29066215,465.9265121,0.0
15,1726,21,119.25,1.33e-05,1004.0,0.0,6.29,16.5194928,488.160047,0.0
16,1726,24,118.8,1.33e-05,1004.0,0.0,5.22,16.52213759,514.2344762,0.0
17,1826,-24,125.65,2.11e-05,962.5,75.0,2.46,0.0,558.6582413,0.0
18,1826,-21,125.2,2.1e-05,955.0,80.0,2.08,16.40769924,511.2903282,0.0
19,1826,-18,124.7,2.1e-05,955.0,80.0,1.89,17.7613865,465.141121,0.0
20,1826,-15,124.2,2.1e-05,955.0,80.0,2.71,17.7613865,420.6817425,0.0
21,1826,-12,123.6,2.1e-05,955.0,80.0,2.6,21.3136638,370.4171433,0.03
22,1826,-9,123.0,2.1e-05,955.0,80.0,2.18,21.3136638,324.9946037,0.03
23,1826,-6,122.3,2.09e-05,962.5,75.0,2.63,25.1525209,271.7335126,0.06
24,1826,-3,121.6,2.08e-05,970.0,70.0,2.91,25.16536731,231.085258,1.62
25,1826,0,120.85,2.07e-05,977.5,62.5,3.47,26.74096663,216.3985274,0.63
26,1826,3,120.1,2.07e-05,985.0,55.0,4.34,26.74785768,230.4995118,0.3
27,1826,6,119.6,2.09e-05,985.0,55.0,6.05,19.24930835,275.3468705,9.51
28,1826,9,119.1,2.11e-05,985.0,55.0,6.41,19.23204746,324.199513,18.42
29,1826,12,118.85,2.13e-05,987.5,52.5,5.26,9.611671618,349.5923433,17.85
30,1826,15,118.6,2.14e-05,990.0,50.0,4.03,9.607294936,375.448011,12.42
31,1826,18,118.4,2.16e-05,990.0,50.0,3.2,10.24425832,405.9897359,0.0
32,1826,21,118.2,2.19e-05,990.0,50.0,2.72,10.23893761,436.4986692,0.0
33,1826,24,117.95,2.22e-05,991.0,47.5,2.72,14.18386802,478.6245454,0.0
34,1330,-24,129.1,1.29e-05,895.0,125.0,5.42,0.0,1014.800085,0.0
35,1330,-21,128.0,1.31e-05,895.0,125.0,4.42,40.82238305,898.9036237,0.0
36,1330,-18,126.9,1.34e-05,895.0,125.0,3.07,40.79685414,785.2976456,0.0
37,1330,-15,125.85,1.36e-05,902.5,117.5,3.05,38.98003347,679.3403085,0.0
38,1330,-12,124.8,1.39e-05,910.0,110.0,3.6,38.95478982,577.9120916,0.0
39,1330,-9,123.65,1.41e-05,925.0,100.0,4.51,42.50837737,477.0215273,0.0
40,1330,-6,122.5,1.44e-05,940.0,90.0,4.76,42.47964169,392.2265383,10.47
41,1330,-3,121.5,1.47e-05,940.0,90.0,6.36,37.49999997,332.6281374,31.74
42,1330,0,120.5,1.5e-05,940.0,90.0,7.64,37.46799418,304.626243,27.36
43,1330,3,119.25,1.52e-05,940.0,90.0,8.35,45.6991426,340.4249828,19.11
44,1330,6,118.0,1.54e-05,940.0,90.0,9.21,45.67382788,420.0678868,0.0
45,1330,9,117.3,1.54e-05,940.0,90.0,9.25,25.45041893,478.2208478,0.0
46,1330,12,116.6,1.55e-05,940.0,90.0,8.79,25.44561273,540.8750935,0.0
47,1330,15,115.7,1.62e-05,940.0,90.0,8.12,39.39827996,603.5613653,0.0
48,1330,18,114.8,1.7e-05,940.0,90.0,7.58,39.33251862,680.3095907,0.0
49,1330,21,113.95,1.75e-05,942.5,87.5,6.35,34.84324735,763.1932636,0.0
50,1330,24,113.1,1.81e-05,945.0,85.0,5.43,34.79006681,850.1780544,0.0
51,2002,-24,125.05,1.67e-05,1006.0,0.0,3.68,0.0,463.8355444,0.0
52,2002,-21,124.7,1.72e-05,1006.0,0.0,2.35,19.44527929,414.4186821,0.0
53,2002,-18,124.3,1.76e-05,1006.0,0.0,2.14,18.18099327,364.5829584,7.62
54,2002,-15,123.9,1.8e-05,1006.0,0.0,1.9,18.16600441,316.5491294,13.98
55,2002,-12,123.4,1.82e-05,1005.0,0.0,1.75,19.42610955,260.8316866,11.79
56,2002,-9,122.9,1.85e-05,1004.0,0.0,1.76,19.41103207,206.7740281,5.64
57,2002,-6,122.35,1.87e-05,1004.0,0.0,2.45,21.06425236,150.7600559,2.16
58,2002,-3,121.8,1.89e-05,1004.0,0.0,2.16,21.04700514,103.6942248,0.39
59,2002,0,121.15,1.94e-05,1003.0,0.0,2.13,26.60963624,95.57198381,2.55
60,2002,3,120.5,1.98e-05,1002.0,0.0,0.69,26.57504098,142.3999295,9.33
61,2002,6,119.95,2e-05,1002.0,0.0,1.19,20.39229786,185.7718403,16.08
62,2002,9,119.4,2.02e-05,1002.0,0.0,3.14,20.37811226,237.0459969,23.19
63,2002,12,118.85,2.03e-05,1001.0,0.0,4.08,20.36379822,292.0355701,38.7
64,2002,15,118.3,2.05e-05,1000.0,0.0,5.55,20.34935585,348.9422836,32.58
65,2002,18,117.95,2.08e-05,999.0,17.5,4.79,14.478948,392.0367055,18.27
66,2002,21,117.6,2.1e-05,998.0,35.0,3.95,14.4677759,435.0812774,0.0
67,2002,24,117.15,2.14e-05,998.0,35.0,2.41,20.54787755,495.9692521,0.0
68,1409,-24,126.25,1.59e-05,962.5,67.5,0.45,0.0,611.8870412,0.0
69,1409,-21,125.6,1.6e-05,960.0,70.0,1.7,23.60170553,544.1725625,0.0
70,1409,-18,125.15,1.61e-05,955.0,75.0,1.78,16.69779516,494.744205,0.0
71,1409,-15,124.7,1.62e-05,950.0,80.0,2.0,16.69147687,445.5417394,0.0
72,1409,-12,124.05,1.65e-05,947.5,82.5,2.55,25.24158398,369.6337962,14.16
73,1409,-9,123.4,1.69e-05,945.0,85.0,2.96,25.21912211,293.949009,32.28
