,ID,Name,Timestamp,Latitude,Longitude,Time,Coriolis Parameter,Pressure,Max Wind,Wind at 10m,Translational Velocity,Distance From Manila,Rainfall
0,1002,CONSON,10071218,14.3,126.5,0,1.79623e-05,975.0,65.0,0.55,0.0,596.1634288349,2.76
1,1002,CONSON,10071221,14.3,125.65,3,1.79623e-05,975.0,65.0,1.0,30.5632623741,504.6474550511,3.9
2,1002,CONSON,10071300,14.3,124.8,6,1.79623e-05,975.0,65.0,1.32,30.5632623741,413.2085526994,4.41
3,1002,CONSON,10071303,14.35,124.15,9,1.8023800000000002e-05,975.0,65.0,1.37,23.4397784583,342.7981010043,3.39
4,1002,CONSON,10071306,14.4,123.5,12,1.80852e-05,975.0,65.0,1.5,23.4345694334,272.4187649447,2.76
5,1002,CONSON,10071309,14.45,122.9,15,1.81467e-05,975.0,65.0,1.53,21.6387808928,207.4419271133,26.91
6,1002,CONSON,10071312,14.5,122.3,18,1.82081e-05,975.0,65.0,0.85,21.633942489,142.4941157936,60.6
7,1002,CONSON,10071315,14.4,121.6,21,1.80852e-05,977.5,62.5,0.14,25.4289806095,70.3612418506,49.89
8,1002,CONSON,10071318,14.3,120.9,24,1.79623e-05,980.0,60.0,1.45,25.4400954531,34.901910718,31.62
9,1002,CONSON,10071321,14.5,120.25,27,1.82081e-05,982.5,57.5,2.39,24.4948533662,79.7545776403,35.25
10,1002,CONSON,10071400,14.7,119.6,30,1.84538e-05,985.0,55.0,1.81,24.4746358826,149.2086308438,41.91
11,1002,CONSON,10071403,15.0,118.95,33,1.88219e-05,987.5,52.5,1.13,25.8053136788,222.8856786156,42.24
12,1002,CONSON,10071406,15.3,118.3,36,1.91894e-05,990.0,50.0,2.36,25.7755628046,298.1699255736,29.79
13,1002,CONSON,10071409,15.65,118.0,39,1.96175e-05,991.0,47.5,3.94,16.8084752012,340.0849456231,15.9
14,1002,CONSON,10071412,16.0,117.7,42,2.0044900000000002e-05,992.0,45.0,4.2,16.7967630194,383.8596654655,6.66
15,1002,CONSON,10071415,16.05,116.9,45,2.01059e-05,992.0,45.0,3.83,28.5879866795,465.2563858661,11.49
16,1002,CONSON,10071418,16.1,116.1,48,2.01669e-05,992.0,45.0,2.67,28.580828862,547.9181935948,14.88
17,1003,CHANTHU,10071709,15.65,122.95,0,1.96175e-05,1008.0,0.0,1.3599999999999999,0.0,240.7529615414,3.51
18,1003,CHANTHU,10071712,15.5,122.8,3,1.94341e-05,1008.0,0.0,0.64,7.717193626,218.8745624505,7.2
19,1003,CHANTHU,10071715,15.4,122.6,6,1.93118e-05,1008.0,0.0,0.9,8.0545012326,194.7952208648,7.05
20,1003,CHANTHU,10071718,15.3,122.4,9,1.91894e-05,1008.0,0.0,1.3900000000000001,8.0575420562,170.6972476025,4.8
21,1003,CHANTHU,10071721,15.2,122.25,12,1.9066900000000002e-05,1008.0,0.0,1.8599999999999999,6.5217701721,151.3940737876,5.01
22,1003,CHANTHU,10071800,15.1,122.1,15,1.89444e-05,1008.0,0.0,1.48,6.5238550736,132.1361788096,6.8100000000000005
23,1003,CHANTHU,10071803,15.15,121.7,18,1.90057e-05,1007.0,0.0,1.26,14.4456336479,98.0676445627,9.6
24,1003,CHANTHU,10071806,15.2,121.3,21,1.9066900000000002e-05,1006.0,0.0,1.05,14.4422713313,74.4109478641,9.54
25,1003,CHANTHU,10071809,15.05,120.6,24,1.8883100000000002e-05,1006.0,0.0,0.62,25.6899624379,64.3080483611,7.83
