rf,fitted_lin,resid ^2,,,,,,fitted_step,resid^2,,,,
0.57,5.82337151,27.59791222,,Rsquared new,,p val,,2.977117353,5.79421395,,Rsquared new,,p val
0.6,8.080497647,55.95784504,,5.82E-03,,1.00E+00,,3.312837062,7.359484927,,1.42E-02,,1.00E+00
1.23,10.72619706,90.17775864,,n,,,,3.838993233,6.80684569,,n,,
7.05,8.773802557,2.971495254,,9.69E+02,,,,4.888533684,4.671936636,,9.69E+02,,
11.16,7.869656772,10.82635856,,,,,,5.503475207,31.99627273,,,,
7.62,11.4077832,14.34730161,,,,,,7.700853223,0.006537244,,,,
2.46,13.82301526,129.1181157,,,,,,10.36859508,62.54587614,,,,
2.1,17.08358673,224.5078712,,,,,,14.06187163,143.0863729,,,,
4.08,18.24303112,200.5914506,,,,,,15.93369741,140.5101423,,,,
10.53,21.963959,130.7354185,,,,,,19.76879953,85.35541673,,,,
9.57,26.3333499,281.0098999,,,,,,23.51561189,194.4800909,,,,
12.3,26.20558487,193.3652907,,,,,,23.57098474,127.0350971,,,,
11.22,23.95881147,162.2773176,,,,,,20.54319753,86.92201224,,,,
9.36,21.29457274,142.4340265,,,,,,14.00324782,21.55975035,,,,
10.65,20.01041351,87.61734102,,,,,,12.76154955,4.458641507,,,,
17.91,19.78293604,3.507889399,,,,,,13.13453963,22.80502177,,,,
17.73,16.09294448,2.679950791,,,,,,11.24407579,42.06721282,,,,
0.12,1.098801998,0.958053351,,,,,,2.162561851,4.172058915,,,,
0,2.580541511,6.659194491,,,,,,1.38126239,1.90788579,,,,
0,3.364267364,11.3182949,,,,,,1.717355013,2.949308242,,,,
0.3,6.790375746,42.12497733,,,,,,3.724194908,11.72511077,,,,
0.03,8.219821744,67.07318019,,,,,,4.607589666,20.95432715,,,,
0.03,8.223592638,67.13496032,,,,,,4.436065687,19.41341484,,,,
0.06,12.07326594,144.3185585,,,,,,8.763952527,75.75878959,,,,
1.62,14.66500373,170.1721224,,,,,,13.25320872,135.3315452,,,,
0.63,17.49629983,284.47207,,,,,,18.3890851,315.3851037,,,,
0.3,20.25087616,398.0374594,,,,,,23.99257922,561.3383099,,,,
9.51,22.96457686,181.0256384,,,,,,25.80053407,265.3815001,,,,
18.42,22.67742185,18.12564078,,,,,,23.98713622,30.99300567,,,,
17.85,17.59945734,0.062771624,,,,,,16.6018326,1.557921849,,,,
12.42,13.49212018,1.149441688,,,,,,13.80956547,1.930892202,,,,
10.17,10.23218721,0.00386725,,,,,,11.53652997,1.867404156,,,,
10.23,7.839928317,5.712442652,,,,,,9.932167278,0.088704331,,,,
9.33,7.014933244,5.359534086,,,,,,9.445318564,0.013298371,,,,
9.84,-5.720510466,242.129486,,,,,,5.88837767,15.61531904,,,,
8.7,-0.476672525,84.21131863,,,,,,10.08556552,1.919791821,,,,
6.81,-1.269950561,65.28560106,,,,,,11.24999289,19.71353689,,,,
9.72,1.817760115,62.4453952,,,,,,7.870958777,3.418953446,,,,
9,6.574737506,5.881898164,,,,,,6.399150757,6.764416784,,,,
8.4,13.61570366,27.20356463,,,,,,8.891547066,0.241618518,,,,
10.47,17.91689679,55.45627179,,,,,,12.90761579,5.941970729,,,,
31.74,23.44457645,68.81405179,,,,,,20.99751236,115.4010407,,,,
