,ID,t,phi,f,P,mw,w10m,v,r,rf_modded
0,1726,-24,126,1.52E-05,998,35,2.99,0,612.7919487,5.79421395
1,1726,-21,125.8,1.53E-05,1000,17.5,3.55,7.48706412,590.8070648,7.359484927
2,1726,-18,125.6,1.54E-05,1002,0,4.57,7.485741164,568.8741088,6.80684569
3,1726,-15,125.4,1.55E-05,1002,0,3.7,8.139850821,544.290236,4.671936636
4,1726,-12,125.2,1.56E-05,1002,0,3.23,8.137387239,519.7201399,31.99627273
5,1726,-9,124.7,1.57E-05,1003,0,3.58,18.21110899,469.5330444,0.006537244
6,1726,-6,124.2,1.57E-05,1004,0,3.96,18.20762988,420.4958242,62.54587614
7,1726,-3,123.45,1.56E-05,1004,0,4.17,27.74623736,366.8547105,143.0863729
8,1726,0,122.7,1.54E-05,1004,0,4.14,27.76141063,325.7359011,140.5101423
9,1726,3,122.2,1.49E-05,1004,0,5.68,23.42472396,338.2741814,85.35541673
10,1726,6,121.7,1.44E-05,1004,0,7.38,23.44483573,364.0667943,194.4800909
11,1726,9,121.05,1.40E-05,1004,0,7.35,26.13994006,388.8969423,127.0350971
12,1726,12,120.4,1.36E-05,1004,0,6.8,26.16163125,426.8853954,86.92201224
13,1726,15,120.05,1.35E-05,1004,0,6.58,13.2866408,445.0454328,21.55975035
14,1726,18,119.7,1.34E-05,1004,0,6.32,13.29066215,465.9265121,4.458641507
15,1726,21,119.25,1.33E-05,1004,0,6.29,16.5194928,488.160047,22.80502177
16,1726,24,118.8,1.33E-05,1004,0,5.22,16.52213759,514.2344762,42.06721282
17,1826,-24,125.65,2.11E-05,962.5,75,2.46,0,558.6582413,4.172058915
18,1826,-21,125.2,2.10E-05,955,80,2.08,16.40769924,511.2903282,1.90788579
19,1826,-18,124.7,2.10E-05,955,80,1.89,17.7613865,465.141121,2.949308242
20,1826,-15,124.2,2.10E-05,955,80,2.71,17.7613865,420.6817425,11.72511077
21,1826,-12,123.6,2.10E-05,955,80,2.6,21.3136638,370.4171433,20.95432715
22,1826,-9,123,2.10E-05,955,80,2.18,21.3136638,324.9946037,19.41341484
23,1826,-6,122.3,2.09E-05,962.5,75,2.63,25.1525209,271.7335126,75.75878959
24,1826,-3,121.6,2.08E-05,970,70,2.91,25.16536731,231.085258,135.3315452
25,1826,0,120.85,2.07E-05,977.5,62.5,3.47,26.74096663,216.3985274,315.3851037
26,1826,3,120.1,2.07E-05,985,55,4.34,26.74785768,230.4995118,561.3383099
27,1826,6,119.6,2.09E-05,985,55,6.05,19.24930835,275.3468705,265.3815001
28,1826,9,119.1,2.11E-05,985,55,6.41,19.23204746,324.199513,30.99300567
29,1826,12,118.85,2.13E-05,987.5,52.5,5.26,9.611671618,349.5923433,1.557921849
30,1826,15,118.6,2.14E-05,990,50,4.03,9.607294936,375.448011,1.930892202
31,1826,18,118.4,2.16E-05,990,50,3.2,10.24425832,405.9897359,1.867404156
32,1826,21,118.2,2.19E-05,990,50,2.72,10.23893761,436.4986692,0.088704331
33,1826,24,117.95,2.22E-05,991,47.5,2.72,14.18386802,478.6245454,0.013298371
34,1330,-24,129.1,1.29E-05,895,125,5.42,0,1014.800085,15.61531904
35,1330,-21,128,1.31E-05,895,125,4.42,40.82238305,898.9036237,1.919791821
36,1330,-18,126.9,1.34E-05,895,125,3.07,40.79685414,785.2976456,19.71353689
37,1330,-15,125.85,1.36E-05,902.5,117.5,3.05,38.98003347,679.3403085,3.418953446
38,1330,-12,124.8,1.39E-05,910,110,3.6,38.95478982,577.9120916,6.764416784
39,1330,-9,123.65,1.41E-05,925,100,4.51,42.50837737,477.0215273,0.241618518
40,1330,-6,122.5,1.44E-05,940,90,4.76,42.47964169,392.2265383,5.941970729
41,1330,-3,121.5,1.47E-05,940,90,6.36,37.49999997,332.6281374,115.4010407
42,1330,0,120.5,1.50E-05,940,90,7.64,37.46799418,304.626243,2.059564733
43,1330,3,119.25,1.52E-05,940,90,8.35,45.6991426,340.4249828,282.8338628
44,1330,6,118,1.54E-05,940,90,9.21,45.67382788,420.0678868,34.39322389
45,1330,9,117.3,1.54E-05,940,90,9.25,25.45041893,478.2208478,117.6125791
46,1330,12,116.6,1.55E-05,940,90,8.79,25.44561273,540.8750935,16.28299158
47,1330,15,115.7,1.62E-05,940,90,8.12,39.39827996,603.5613653,13.13734725
48,1330,18,114.8,1.70E-05,940,90,7.58,39.33251862,680.3095907,130.6884209
49,1330,21,113.95,1.75E-05,942.5,87.5,6.35,34.84324735,763.1932636,1.403174659
50,1330,24,113.1,1.81E-05,945,85,5.43,34.79006681,850.1780544,24.4970337
51,2002,-24,125.05,1.67E-05,1006,0,3.68,0,463.8355444,3.157143429
52,2002,-21,124.7,1.72E-05,1006,0,2.35,19.44527929,414.4186821,18.3946365
53,2002,-18,124.3,1.76E-05,1006,0,2.14,18.18099327,364.5829584,1.665326005
54,2002,-15,123.9,1.80E-05,1006,0,1.9,18.16600441,316.5491294,23.33987235
55,2002,-12,123.4,1.82E-05,1005,0,1.75,19.42610955,260.8316866,8.618872208
56,2002,-9,122.9,1.85E-05,1004,0,1.76,19.41103207,206.7740281,10.99722105
57,2002,-6,122.35,1.87E-05,1004,0,2.45,21.06425236,150.7600559,114.9782033
58,2002,-3,121.8,1.89E-05,1004,0,2.16,21.04700514,103.6942248,146.5416323
59,2002,0,121.15,1.94E-05,1003,0,2.13,26.60963624,95.57198381,96.25703993
60,2002,3,120.5,1.98E-05,1002,0,0.69,26.57504098,142.3999295,24.49256045
61,2002,6,119.95,2.00E-05,1002,0,1.19,20.39229786,185.7718403,79.81241703
62,2002,9,119.4,2.02E-05,1002,0,3.14,20.37811226,237.0459969,72.79786257
63,2002,12,118.85,2.03E-05,1001,0,4.08,20.36379822,292.0355701,502.9680718
64,2002,15,118.3,2.05E-05,1000,0,5.55,20.34935585,348.9422836,203.4668477
65,2002,18,117.95,2.08E-05,999,17.5,4.79,14.478948,392.0367055,10.90591378
66,2002,21,117.6,2.10E-05,998,35,3.95,14.4677759,435.0812774,97.65667777
67,2002,24,117.15,2.14E-05,998,35,2.41,20.54787755,495.9692521,52.54778868
68,1409,-24,126.25,1.59E-05,962.5,67.5,0.45,0,611.8870412,1.242290294
69,1409,-21,125.6,1.60E-05,960,70,1.7,23.60170553,544.1725625,14.1738575
70,1409,-18,125.15,1.61E-05,955,75,1.78,16.69779516,494.744205,13.40897167
71,1409,-15,124.7,1.62E-05,950,80,2,16.69147687,445.5417394,16.46384467
72,1409,-12,124.05,1.65E-05,947.5,82.5,2.55,25.24158398,369.6337962,135.7670585
73,1409,-9,123.4,1.69E-05,945,85,2.96,25.21912211,293.949009,748.8348138
74,1409,-6,122.65,1.72E-05,945,85,3.08,29.22662249,206.4051973,842.6398893
75,1409,-3,121.9,1.76E-05,945,85,2.9,29.19439029,119.678222,431.9240174
76,1409,0,121.15,1.77E-05,952.5,77.5,5.2,27.24369073,58.81026375,2.830975256
77,1409,3,120.4,1.78E-05,960,70,5.26,27.23192808,77.19744621,2.050498194
78,1409,6,119.7,1.84E-05,962.5,67.5,5.68,30.14290393,138.1869027,234.5623069
79,1409,9,119,1.89E-05,965,65,6.69,30.099378,220.0288367,202.6198149
80,1409,12,118.3,1.89E-05,967.5,62.5,9.23,25.07771505,293.4754995,128.0982834
81,1409,15,117.6,1.89E-05,970,60,7.63,25.07771505,367.6453466,16.5030269
82,1409,18,117.2,1.93E-05,970,60,5.28,17.04069548,414.3625267,0.142478182
83,1409,21,116.8,1.96E-05,970,60,3.14,17.02622197,461.8264399,2.586827535
84,1409,24,116.2,1.99E-05,965,62.5,2.54,24.11703653,531.7962034,23.2148384
85,1325,-24,125.75,1.92E-05,977.5,62.5,1.75,0,517.7282557,34.00771813
86,1325,-21,125.4,1.92E-05,975,65,1.27,12.52697141,480.6003323,3.154108064
87,1325,-18,124.95,1.92E-05,972.5,67.5,1.28,16.1061061,432.979296,0.002099106
