-BEGIN HEADER-,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,
Dates (month/day/year): 01/01/2010 through 10/31/2021 ,,,,,,
Location: Latitude  14.6042   Longitude 120.9822 ,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.16 meters,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,
Parameter(s): ,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,
-END HEADER-,,,,,,
YEAR,MM,DD,HH,PRECIP,WS10M,PS
2010,1,1,0,0,3.54,98.88
2010,1,1,1,0,3.35,98.8
2010,1,1,2,0,3.12,98.76
2010,1,1,3,0,2.81,98.76
2010,1,1,4,0,2.76,98.79
2010,1,1,5,0,2.91,98.86
2010,1,1,6,0,3.18,98.93
2010,1,1,7,0,4.04,99.01
2010,1,1,8,0.01,5.22,99.07
2010,1,1,9,0,5.72,99.08
2010,1,1,10,0,5.81,99.05
2010,1,1,11,0,5.81,98.98
2010,1,1,12,0,5.79,98.9
2010,1,1,13,0,5.71,98.81
2010,1,1,14,0,5.61,98.77
2010,1,1,15,0,5.39,98.77
2010,1,1,16,0,4.84,98.82
2010,1,1,17,0,3.94,98.87
2010,1,1,18,0.01,3.67,98.91
2010,1,1,19,0.01,3.61,98.96
2010,1,1,20,0.01,3.54,99
2010,1,1,21,0.01,3.42,99.01
2010,1,1,22,0.01,3.26,98.98
2010,1,1,23,0.01,2.98,98.95
2010,1,2,0,0.01,2.73,98.93
2010,1,2,1,0.01,2.47,98.88
2010,1,2,2,0.01,2.35,98.85
2010,1,2,3,0.01,2.41,98.84
2010,1,2,4,0.01,2.47,98.87
2010,1,2,5,0.01,2.71,98.92
2010,1,2,6,0.01,3,98.98
2010,1,2,7,0.01,3.59,99.04
2010,1,2,8,0.01,4.99,99.09
2010,1,2,9,0.01,5.4,99.07
2010,1,2,10,0.03,5.4,99.02
