YYMMDDHH,PRECIP,WS10M
10010100,0.0,3.54
10010106,0.0,3.18
10010112,0.01,5.79
10010118,0.01,3.67
10010200,0.060000000000000005,2.73
10010206,0.060000000000000005,3
10010212,0.14,5.23
10010218,0.09999999999999998,3.18
10010300,0.05,1.99
10010306,0.26,1.96
10010312,2.51,0.49
10010318,1.4899999999999998,1.06
10010400,0.76,1.85
10010406,4.24,2.22
10010412,2.54,3.31
10010418,1.43,2.73
10010500,0.88,2.35
10010506,1.6400000000000001,2.26
10010512,1.02,2.88
10010518,0.33,2.81
10010600,0.2,2.07
10010606,0.29,2.33
10010612,0.09,3.1
10010618,0.0,2.98
10010700,0.03,2.01
10010706,0.060000000000000005,2.02
10010712,0.64,2.89
10010718,0.24,2.72
10010800,0.56,2.26
10010806,1.24,2.33
10010812,0.56,3.3
10010818,0.11999999999999998,2.97
10010900,0.060000000000000005,1.91
10010906,0.01,2.19
10010912,0.38,3.1
10010918,0.27,2.85
10011000,0.17,2.63
10011006,0.29000000000000004,2.35
10011012,0.01,2.86
10011018,0.0,2.65
10011100,0.01,1.98
10011106,0.060000000000000005,2.03
10011112,0.59,2.5
10011118,0.25,2.2
10011200,0.19,1.84
10011206,0.09999999999999999,2.06
10011212,0.26,3.04
10011218,0.16999999999999998,3.07
10011300,0.53,3.03
10011306,0.93,3.82
10011312,0.6900000000000001,6.41
10011318,0.5,5.01
10011400,0.24,4.8
10011406,0.61,4.36
10011412,0.45,7.09
10011418,0.31000000000000005,5.31
10011500,0.21000000000000002,4.42
10011506,0.31,3.84
10011512,0.38,6.86
10011518,0.23,4.63
10011600,0.38,3.49
10011606,0.38,3.43
10011612,0.9600000000000001,5.58
10011618,0.8200000000000001,4.18
10011700,2.6399999999999997,4.17
10011706,3.09,4.63
10011712,10.95,6.32
10011718,8.05,4.69
10011800,5.79,4.69
10011806,1.87,4.38
10011812,8.07,6.11
10011818,5.34,4.06
10011900,1.3299999999999998,3.91
10011906,1.25,3.89
10011912,1.9499999999999997,7.05
10011918,0.29000000000000004,4.49
10012000,0.51,3.83
10012006,2.0500000000000003,3.38
10012012,1.37,6.26
10012018,0.04,3.28
