-BEGIN HEADER-,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,
Dates (month/day/year): 01/01/2010 through 12/31/2021 ,,,,,
Location: Latitude  14.6436   Longitude 121.0437 ,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.16 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
Parameter(s): ,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) ,,,,,
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,
-END HEADER-,,,,,
YEAR,MM,DD,HH,PRECIP,WS10M
2010,1,1,8,0.01,5.22
2010,1,1,9,0,5.72
2010,1,1,10,0,5.81
2010,1,1,11,0,5.81
2010,1,1,12,0,5.79
2010,1,1,13,0,5.71
2010,1,1,14,0,5.61
2010,1,1,15,0,5.39
2010,1,1,16,0,4.84
2010,1,1,17,0,3.94
2010,1,1,18,0.01,3.67
2010,1,1,19,0.01,3.61
2010,1,1,20,0.01,3.54
2010,1,1,21,0.01,3.42
2010,1,1,22,0.01,3.26
2010,1,1,23,0.01,2.98
2010,1,2,0,0.01,2.73
2010,1,2,1,0.01,2.47
2010,1,2,2,0.01,2.35
2010,1,2,3,0.01,2.41
2010,1,2,4,0.01,2.47
2010,1,2,5,0.01,2.71
2010,1,2,6,0.01,3
2010,1,2,7,0.01,3.59
2010,1,2,8,0.01,4.99
2010,1,2,9,0.01,5.4
2010,1,2,10,0.03,5.4
2010,1,2,11,0.04,5.35
2010,1,2,12,0.04,5.23
2010,1,2,13,0.04,5.12
2010,1,2,14,0.02,5
2010,1,2,15,0.01,4.82
2010,1,2,16,0.01,4.4
2010,1,2,17,0.01,3.62
2010,1,2,18,0.01,3.18
2010,1,2,19,0.01,2.95
2010,1,2,20,0.01,2.79
2010,1,2,21,0.01,2.67
2010,1,2,22,0.01,2.52
2010,1,2,23,0,2.18
2010,1,3,0,0.01,1.99
2010,1,3,1,0.02,1.95
2010,1,3,2,0.04,2.13
2010,1,3,3,0.04,2.11
2010,1,3,4,0.05,2.07
2010,1,3,5,0.05,2.01
2010,1,3,6,0.06,1.96
2010,1,3,7,0.07,2.14
2010,1,3,8,0.63,2.23
2010,1,3,9,0.51,1.92
2010,1,3,10,0.51,1.36
2010,1,3,11,0.41,0.87
2010,1,3,12,0.38,0.49
2010,1,3,13,0.33,0.3
2010,1,3,14,0.29,0.35
2010,1,3,15,0.22,0.3
2010,1,3,16,0.25,0.62
2010,1,3,17,0.22,0.65
2010,1,3,18,0.18,1.06
2010,1,3,19,0.13,1.54
2010,1,3,20,0.08,1.81
2010,1,3,21,0.08,2.01
2010,1,3,22,0.1,2.14
2010,1,3,23,0.12,1.96
2010,1,4,0,0.25,1.85
2010,1,4,1,0.5,1.82
2010,1,4,2,0.67,1.85
2010,1,4,3,0.81,1.91
2010,1,4,4,0.91,1.98
2010,1,4,5,0.66,2.06
2010,1,4,6,0.69,2.22
2010,1,4,7,0.72,2.67
2010,1,4,8,0.34,3.1
2010,1,4,9,0.41,3.51
2010,1,4,10,0.39,3.56
2010,1,4,11,0.33,3.45
2010,1,4,12,0.35,3.31
2010,1,4,13,0.35,3.18
2010,1,4,14,0.27,3.08
2010,1,4,15,0.23,3.03
2010,1,4,16,0.19,2.89
2010,1,4,17,0.2,2.55
2010,1,4,18,0.19,2.73
2010,1,4,19,0.18,2.84
2010,1,4,20,0.17,2.87
2010,1,4,21,0.14,2.78
2010,1,4,22,0.13,2.66
2010,1,4,23,0.13,2.47
2010,1,5,0,0.13,2.35
2010,1,5,1,0.16,2.28
2010,1,5,2,0.21,2.21
2010,1,5,3,0.26,2.13
2010,1,5,4,0.32,2.1
2010,1,5,5,0.3,2.19
2010,1,5,6,0.39,2.26
2010,1,5,7,0.48,2.62
2010,1,5,8,0.13,3.3
2010,1,5,9,0.11,3.58
2010,1,5,10,0.1,3.41
2010,1,5,11,0.1,3.11
2010,1,5,12,0.1,2.88
2010,1,5,13,0.09,2.72
2010,1,5,14,0.07,2.69
2010,1,5,15,0.06,2.77
2010,1,5,16,0.04,2.71
2010,1,5,17,0.03,2.42
2010,1,5,18,0.04,2.81
2010,1,5,19,0.04,2.95
2010,1,5,20,0.04,2.77
2010,1,5,21,0.03,2.6
2010,1,5,22,0.03,2.45
2010,1,5,23,0.03,2.26
2010,1,6,0,0.03,2.07
2010,1,6,1,0.04,1.95
2010,1,6,2,0.05,1.94
2010,1,6,3,0.05,1.96
2010,1,6,4,0.05,2
2010,1,6,5,0.05,2.14
2010,1,6,6,0.05,2.33
2010,1,6,7,0.05,2.76
2010,1,6,8,0.01,3.45
2010,1,6,9,0.01,3.63
2010,1,6,10,0.01,3.48
2010,1,6,11,0.01,3.3
2010,1,6,12,0,3.1
2010,1,6,13,0,2.99
2010,1,6,14,0,2.97
2010,1,6,15,0,3.03
2010,1,6,16,0,2.99
2010,1,6,17,0,2.63
2010,1,6,18,0,2.98
2010,1,6,19,0,3.09
